NIVEL_ADMINISTRATIVO,GEO_COD,GEO_COD_DSG,POP_RESIDENTE_M,POP_RESIDENTE_F,POP_PRESENTE_M,POP_PRESENTE_F,POP_ATIVA_M,POP_ATIVA_F,POP_EMPREGADA_M,POP_EMPREGADA_F,POP_DESEMPREGADA_M,POP_DESEMPREGADA_F,TAXA_DESEMPREGO_M,TAXA_DESEMPREGO_F,POP_EMPREGADA_SET_PRIMARIO,POP_EMPREGADA_SET_SECUNDARIO,POP_EMPREGADA_SET_TERCIARIO,POP_DESEMPREGADA_PROC_1_EMP_M,POP_DESEMPREGADA_PROC_1_EMP_F,POP_DESEMPREGADA_PROC_NOVO_EMP_M,POP_DESEMPREGADA_PROC_NOVO_EMP_F,DENSIDADE_TOTAL,DENSIDADE_TOTAL_M,DENSIDADE_TOTAL_F,IDADE_MEDIA,M_0_14,M_15_24,M_25_64,M_65_74,M_75,F_0_14,F_15_24,F_25_64,F_65_74,F_75,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE
6,150103,Alcácer do Sal (Santiago),2206,2426,2115,2362,1130,987,1026,886,104,101,9.2040000000000006,10.233000000000001,236,347,1329,28,22,76,79,16.199999999999999,7.7000000000000002,8.5,45.340000000000003,337,201,1197,247,224,312,201,1214,314,385,17,246,3250
6,150505,Carvalhal,1060,570,1082,584,287,258,258,224,29,34,10.105,13.178000000000001,54,98,330,3,4,26,30,19.899999999999999,12.9,7,42.009999999999998,78,77,789,64,52,76,55,314,67,58,17,250,3278
6,70704,Pavia,476,456,468,456,230,177,215,141,15,36,6.5220000000000002,20.338999999999999,64,86,206,1,1,14,35,5,2.6000000000000001,2.5,49.619999999999997,47,38,258,55,78,43,36,228,67,82,8,112,1710
6,120201,Assunção,926,1044,896,1045,429,402,372,352,57,50,13.287000000000001,12.438000000000001,73,91,560,14,11,43,39,9.5999999999999996,4.5,5.0999999999999996,48.409999999999997,122,102,454,107,141,100,82,488,152,222,14,193,2591
6,120305,Ervedal,272,288,259,273,128,97,114,80,14,17,10.938000000000001,17.526,47,32,115,1,4,13,13,14.699999999999999,7.0999999999999996,7.5999999999999996,48.899999999999999,28,27,129,42,46,32,32,126,42,56,14,194,2598
6,120401,Nossa Senhora da Expectação,1898,2076,1798,2004,907,841,799,721,108,120,11.907,14.269,96,456,968,33,31,75,89,37.799999999999997,18.100000000000001,19.800000000000001,41.640000000000001,326,213,996,181,182,332,220,1020,236,268,14,195,2602
6,120501,Nossa Senhora da Graça de Póvoa e Meadas,294,312,280,303,99,101,85,86,14,15,14.141,14.850999999999999,19,25,127,0,3,14,12,8.1999999999999993,4,4.2000000000000002,56.219999999999999,32,18,125,45,74,20,16,114,60,102,14,196,2605
6,120602,Crato e Mártires,773,901,761,909,340,336,308,305,32,31,9.4120000000000008,9.2260000000000009,36,71,506,5,9,27,22,9.4000000000000004,4.2999999999999998,5,47.100000000000001,105,72,397,106,93,102,76,436,129,158,14,197,2610
6,120605,Monte da Pedra,137,143,138,144,51,33,45,26,6,7,11.765000000000001,21.212,14,18,39,0,0,6,7,4.7000000000000002,2.2999999999999998,2.3999999999999999,56.060000000000002,7,8,66,25,31,13,4,61,29,36,14,197,2613
6,120707,São Brás e São Lourenço,827,857,790,820,399,363,350,310,49,53,12.281000000000001,14.600999999999999,75,75,510,8,10,41,43,35.399999999999999,17.399999999999999,18,42.960000000000001,121,103,433,92,78,126,90,451,93,97,14,198,2621
6,120710,Vila Boim,594,630,577,603,296,240,254,195,42,45,14.189,18.75,63,68,318,9,11,33,34,48,23.300000000000001,24.699999999999999,45.829999999999998,70,63,328,51,82,84,64,298,58,126,14,198,2624
6,120802,Fronteira,993,1076,944,1040,490,429,430,366,60,63,12.244999999999999,14.685,106,128,562,10,10,50,53,14.6,7,7.5999999999999996,46.509999999999998,136,118,513,110,116,115,98,528,127,208,14,199,2627
6,121203,Arez,131,125,131,124,49,30,41,25,8,5,16.327000000000002,16.667000000000002,6,13,47,0,2,8,3,4.5999999999999996,2.3999999999999999,2.2000000000000002,56.43,9,5,64,19,34,10,9,42,23,41,14,203,2644
6,121404,Fortios,965,1053,927,1024,484,457,438,403,46,54,9.5039999999999996,11.816000000000001,35,144,662,11,10,35,44,30.600000000000001,14.699999999999999,16,43.770000000000003,142,96,536,72,119,166,95,536,99,157,14,205,2662
6,70405,Santa Vitória do Ameixial,180,182,166,167,91,70,87,59,4,11,4.3959999999999999,15.714,47,33,66,0,2,4,9,6.5,3.2000000000000002,3.2999999999999998,49.439999999999998,15,24,89,23,29,14,17,85,32,34,8,109,1670
6,70413,Veiros,489,547,466,531,231,187,216,159,15,28,6.4939999999999998,14.973000000000001,70,91,214,2,8,13,20,26.100000000000001,12.300000000000001,13.800000000000001,51.18,52,37,242,53,105,40,55,230,85,137,8,109,1677
