NUTS III,Ilha de Santa Maria,97
Município,Vila do Porto,97
NUTS III,Ilha de São Miguel,745
Município,Lagoa [R.A.A.],46
Município,Nordeste,101
Município,Ponta Delgada,233
Município,Povoação,106
Município,Ribeira Grande,180
Município,Vila Franca do Campo,78
NUTS III,Ilha Terceira,400
Município,Angra do Heroísmo,239
Município,Vila da Praia da Vitória,161
NUTS III,Ilha Graciosa,61
Município,Santa Cruz da Graciosa,61
NUTS III,Ilha de São Jorge,244
Município,Calheta [R.A.A.],126
Município,Velas,117
NUTS III,Ilha do Pico,445
Município,Lajes do Pico,155
Município,Madalena,147
Município,São Roque do Pico,142
NUTS III,Ilha do Faial,173
Município,Horta,173
NUTS III,Ilha das Flores,141
Município,Lajes das Flores,70
Município,Santa Cruz das Flores,71
NUTS III,Ilha do Corvo,17
Município,Corvo,17
NUTS I,Região Autónoma da Madeira,802
NUTS II,Região Autónoma da Madeira,802
NUTS III,Ilha da Madeira,758
Município,Calheta [R.A.M.],112
Município,Câmara de Lobos,52
Município,Funchal,76
Município,Machico,68
Município,Ponta do Sol,46
Município,Porto Moniz,83
Município,Ribeira Brava,65
Município,Santa Cruz,82
Município,Santana,95
Município,São Vicente,79
NUTS III,Ilha de Porto Santo,43
Município,Porto Santo,43
